Hafta,Count
31/05/2020,7
07/06/2020,0
14/06/2020,0
21/06/2020,0
28/06/2020,0
05/07/2020,0
12/07/2020,8
19/07/2020,0
26/07/2020,9
02/08/2020,0
09/08/2020,16
16/08/2020,0
23/08/2020,8
30/08/2020,0
06/09/2020,22
13/09/2020,8
20/09/2020,0
27/09/2020,7
04/10/2020,0
11/10/2020,15
18/10/2020,8
25/10/2020,7
01/11/2020,58
08/11/2020,100
15/11/2020,45
22/11/2020,56
29/11/2020,28
06/12/2020,35
13/12/2020,49
20/12/2020,42
27/12/2020,43
03/01/2021,34
10/01/2021,41
17/01/2021,70
24/01/2021,37
31/01/2021,23
07/02/2021,38
14/02/2021,14
21/02/2021,37
28/02/2021,51
07/03/2021,22
14/03/2021,35
21/03/2021,21
28/03/2021,22
04/04/2021,22
11/04/2021,14
18/04/2021,15
25/04/2021,7
02/05/2021,42
09/05/2021,8
16/05/2021,0
23/05/2021,0
30/05/2021,8
06/06/2021,0
